geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
13186,-22.887514996879027,-47.19573904628551,hortolandia,SP
13145,-22.73306060560335,-47.17829082930352,paulínia,SP
13171,-22.83415780460501,-47.27774968734491,sumare,SP
13188,-22.894244007858305,-47.23358323658409,hortolândia,SP
13183,-22.84130864526152,-47.21940877608377,hortolandia,SP
13101,-22.90081444463038,-46.99864279239999,campinas,SP
13206,-23.211714582578274,-46.8753760355472,jundiaí,SP
13257,-22.995677703232374,-46.857106243157794,itatiba,SP
13232,-23.20706431353269,-46.760735214610754,campo limpo paulista,SP
13223,-23.214642313163168,-46.80396377210217,varzea paulista,SP
13380,-22.779754253242903,-47.295758177052605,nova odessa,SP
13327,-23.175880576172972,-47.31592004954123,salto,SP
13324,-23.20591698084141,-47.307845865803,salto,SP
13320,-23.198860047870664,-47.29334560811024,salto,SP
13311,-23.26608248211083,-47.31279244463039,itu,SP
13416,-22.715110444918835,-47.645625352213,piracicaba,SP
13453,-22.73579256527013,-47.41089508396748,santa barbara d'oeste,SP
13411,-22.671447720100478,-47.68291776300415,piracicaba,SP
13401,-22.75658158673322,-47.6511707514571,piracicaba,SP
13481,-22.599254430886607,-47.37980963550319,limeira,SP
13418,-22.72880404359728,-47.63173831975289,piracicaba,SP
13405,-22.71683928585045,-47.65736585405934,piracicaba,SP
13457,-22.768743804807222,-47.395682479228896,santa bárbara d'oeste,SP
13456,-22.75967282783305,-47.364736674563375,santa barbara d'oeste,SP
13478,-22.737278419931872,-47.31266995989381,americana,SP
13406,-22.68073272144369,-47.70099050140135,piracicaba,SP
13503,-22.404280214539902,-47.57843446971193,rio claro,SP
13630,-22.00660589921609,-47.42763984666532,pirassununga,SP
13760,-21.472572344386293,-46.74795423526378,tapiratiba,SP
13874,-21.96762672836732,-46.787603701128894,sao joao da boa vista,SP
13846,-22.33932197651208,-46.954460413369226,mogi guaçu,SP
13920,-22.73824150585765,-46.8958585777586,pedreira,SP
14020,-21.210104711049134,-47.80139005429387,ribeirao preto,SP
14050,-21.17121748495008,-47.81941847157649,ribeirao preto,SP
14085,-21.16850440882337,-47.79370519233655,ribeirao preto,SP
14079,-21.15613133316094,-47.74568764755373,ribeirao preto,SP
14092,-21.174925033585303,-47.7686162776848,ribeirao preto,SP
14177,-21.12270565823476,-48.0135887254543,sertaozinho,SP
14110,-21.185944576067463,-47.81498292186677,bonfim paulista,SP
14115,-21.49530743377723,-48.03684008452243,guatapará,SP
14230,-21.31363348956331,-47.56361877243968,serra azul,SP
14407,-20.50234199999999,-47.4215895,franca,SP
14406,-20.531151999894856,-47.43366787318517,franca,SP
14580,-20.43399042630061,-47.81416224047547,guara,SP
14610,-20.43102420974765,-48.01701483913844,ipua,SP
14783,-20.57622133702129,-48.57792225353819,barretos,SP
14802,-21.760806096824155,-48.17228519205648,araraquara,SP
14840,-21.36235769739203,-48.232975701561735,guariba,SP
14940,-21.7664768468313,-48.83154737836604,ibitinga,SP
14960,-21.46284342229134,-49.21918836311204,novo horizonte,SP
15025,-20.80243626346376,-49.39562406741489,sao jose do rio preto,SP
15053,-20.776666890782614,-49.36287357278835,sao jose do rio preto,SP
15081,-20.84380119949777,-49.36891118527178,são josé do rio preto,SP
15030,-20.79075839726487,-49.38146791931792,sao jose do rio preto,SP
15170,-20.619786901756022,-49.64820320291271,tanabi,SP
15501,-20.433488753848312,-49.97851439170862,votuporanga,SP
15685,-20.00472845531312,-50.36990917648097,ouroeste,SP
15810,-21.162702972351784,-48.97639517069088,catanduva,SP
15950,-21.24607941923738,-48.80412605259864,santa adelia,SP
16072,-21.204108401787465,-50.45286394468003,aracatuba,SP
16057,-21.167685565641403,-50.44867684041202,araçatuba,SP
16012,-21.21832154593456,-50.400362346932894,araçatuba,SP
16200,-21.301705697260985,-50.33198634467411,birigui,SP
16301,-21.426570046543283,-50.06791761043272,penapolis,SP
17012,-22.332425763517893,-49.060789754631074,bauru,SP
17032,-22.32817929115924,-49.02886625465973,bauru,SP
17160,-22.032324794455896,-48.90920500612332,arealva,SP
17209,-22.27568678711987,-48.542599749927895,jau,SP
17250,-22.087700920983718,-48.7476570587839,bariri,SP
17210,-22.29164124459334,-48.54989181391441,jaú,SP
17300,-22.371028644611588,-48.38528974062769,dois corregos,SP
17400,-22.218988944556266,-49.64362334020589,garca,SP
17690,-21.92576605362672,-50.74077415347185,bastos,SP
18035,-23.501058123111395,-47.46835501559965,sorocaba,SP
18074,-23.448281036643923,-47.48873627920402,sorocaba,SP
18055,-23.489741556206333,-47.509921178602326,sorocaba,SP
18130,-23.53626695697963,-47.13489184347044,sao roque,SP
18136,-23.56096330427244,-47.14802654049926,sao roque,SP
18132,-23.521078528228543,-47.138172429386366,sao roque,SP
18500,-23.03582473318652,-47.8363026594829,laranjal paulista,SP
18685,-22.58508820351035,-48.8109752196649,lencois paulista,SP
18720,-23.385586077409,-48.71884722663808,paranapanema,SP
19023,-22.11545190136955,-51.39640853541775,presidente prudente,SP
19814,-22.64961538190318,-50.406862966414685,assis,SP
19840,-22.612730029018135,-50.66536412319007,maracai,SP
19820,-22.751694253550635,-50.5739497814992,taruma,SP
19803,-22.679653253935196,-50.44287891853987,assis,SP
19906,-22.98945573088105,-49.87509247068391,ourinhos,SP
20040,-22.906800000000004,-43.176623145421054,rio de janeiro,RJ
20270,-22.920104850395337,-43.22138202997862,rio de janeiro,RJ
20251,-22.923409610046747,-43.20650332223439,rio de janeiro,RJ
20560,-22.918809812943557,-43.26535370468581,rio de janeiro,RJ
20510,-22.93264121120669,-43.23915878100303,rio de janeiro,RJ
20520,-22.92931946221692,-43.23596118471042,rio de janeiro,RJ
20940,-22.898688716890845,-43.21711791782575,rio de janeiro,RJ
21021,-22.84545803220033,-43.26412144878531,rio de janeiro,RJ
21044,-22.855739132704457,-43.24139402405136,rio de janeiro,RJ
21381,-22.878476937821056,-43.31517005147447,rio de janeiro,RJ
21750,-22.871499338334544,-43.41181417262971,rio de janeiro,RJ
21770,-22.887010089099142,-43.437039538432735,rio de janeiro,RJ
21840,-22.87459850346245,-43.477731000000006,rio de janeiro,RJ
21920,-22.79448670552253,-43.19901880099832,rio de janeiro,RJ
22040,-22.96700369193254,-43.18314576657629,rio de janeiro,RJ
22030,-22.968219049397007,-43.18823673772285,rio de janeiro,RJ
22060,-22.973939675543917,-43.190175781579946,rio de janeiro,RJ
22240,-22.93125598447676,-43.17881321481337,rio de janeiro,RJ
22291,-22.81859544240868,-43.27322500582838,rio de janeiro,RJ
22440,-22.987106811270102,-43.22749700083673,rio de janeiro,RJ
22441,-22.9835768104334,-43.22072313001338,rio de janeiro,RJ
22470,-22.96555273382772,-43.2162783326504,rio de janeiro,RJ
22793,-23.00927096142304,-43.42940927644404,rio de janeiro,RJ
22790,-23.01133469499096,-43.45025641534424,rio de janeiro,RJ
22783,-22.99280667740874,-43.44828652055829,rio de janeiro,RJ
22735,-22.92013400805008,-43.36031889592586,rio de janeiro,RJ
23066,-22.883500722206897,-43.62784933672958,rio de janeiro,RJ
23894,-22.746307968387804,-43.69473581382141,seropedica,RJ
24027,-21.2189719026067,-41.87752350568823,niteroi,RJ
24230,-22.911270381614717,-43.10515133611283,niterói,RJ
24210,-22.901359568959617,-43.1241522171793,niteroi,RJ
24360,-22.92080861944341,-43.09368761944342,niteroi,RJ
24727,-22.788731205902764,-42.943115809557774,sao goncalo,RJ
25620,-22.511952463273957,-43.1777121666574,petropolis,RJ
25963,-22.416149820084957,-42.97702251227752,teresopolis,RJ
26216,-22.7397645,-43.49706074999999,nova iguacu,RJ
26221,-22.763825251207155,-43.436790830412576,nova iguacu,RJ
26310,-22.71897183001308,-43.56245863918872,queimados,RJ
27281,-22.4993604343586,-44.10694753358529,volta redonda,RJ
27288,-22.46640407937563,-44.09632304440533,volta redonda,RJ
28300,-21.20851525964521,-41.87484723167247,itaperuna,RJ
28615,-22.31000521194919,-42.52023373510779,nova friburgo,RJ
28770,-21.95976220264771,-42.01238047476166,santa maria madalena,RJ
28880,-22.57649369393669,-41.98699034043617,barra de sao joao,RJ
28908,-22.918600080765664,-42.03848119319952,cabo frio,RJ
28907,-22.87819893069184,-42.0153349507779,cabo frio,RJ
29102,-20.37616120906966,-40.30529402401848,vila velha,ES
29156,-20.297536576315476,-40.40086853731229,cariacica,ES
29314,-20.832592499999997,-41.18073075000001,cachoeiro de itapemirim,ES
29450,-21.15709213056911,-41.56442773822537,apiaca,ES
30180,-19.926141851520523,-43.93684827200066,belo horizonte,MG
30190,-19.921126734952896,-43.94119674937962,belo horizonte,MG
30220,-19.942447820416717,-43.91448426755726,belo horizonte,MG
30295,-19.91222323130401,-43.87804546638037,belo horizonte,MG
30380,-19.950113421576656,-43.95583838718328,belo horizonte,MG
30315,-19.95455748237063,-43.93409969455826,belo horizonte,MG
30580,-19.95806146849216,-43.98571701122408,belo horizonte,MG
30710,-19.913521316406,-43.95735564265109,belo horizonte,MG
30840,-19.891079580904844,-43.99423022788376,belo horizonte,MG
30882,-19.885567704137557,-44.00816196779967,belo horizonte,MG
31050,-19.900238441628133,-43.903489639426446,belo horizonte,MG
31130,-19.885618959201334,-43.93859494364943,belo horizonte,MG
31150,-19.87553457706714,-43.94176194140331,belo horizonte,MG
31160,-19.8824409955566,-43.92902237968148,belo horizonte,MG
31275,-19.8566927082925,-43.9760083297362,belo horizonte,MG
31255,-19.878513898894187,-43.95694702879617,belo horizonte,MG
31365,-19.85564348987244,-44.010183594494826,belo horizonte,MG
31578,-19.80791248819901,-44.000379712735885,belo horizonte,MG
31842,-19.840168078827364,-43.92329932223438,belo horizonte,MG
32010,-19.940393531428462,-44.06063257014001,contagem,MG
32110,-19.88575709625392,-44.01809003760589,contagem,MG
32310,-19.944519773919623,-44.03388528779314,contagem,MG
33080,-19.820014513528548,-43.83030225884891,santa luzia,MG
34001,-19.989306206863183,-43.85077859693365,nova lima,MG
35500,-20.146615317146374,-44.892591683425806,divinopolis,MG
35570,-20.474084262411907,-45.424321458052006,formiga,MG
35530,-20.43773362250285,-44.75914024487753,claudio,MG
36010,-21.76282506633389,-43.34295644532287,juiz de fora,MG
36205,-21.216647501342187,-43.75240420003465,barbacena,MG
36570,-20.721937677884224,-42.86601159708953,vicosa,MG
36884,-21.12842778573488,-42.37999506994058,muriae,MG
37165,-21.11244619821393,-45.83234349689595,campo do meio,MG
37410,-21.69216794221008,-45.25804903964345,tres coracoes,MG
37443,-21.956309999999995,-44.882378788136165,baependi,MG
37504,-22.42451926871875,-45.468141657836526,itajuba,MG
37540,-22.243203015748463,-45.71330344759827,santa rita do sapucai,MG
37564,-22.264093569966427,-46.15856420525942,borda da mata,MG
37584,-22.15937587770692,-46.04402732344177,congonhal,MG
37660,-22.551107403951946,-45.77715379701644,paraisopolis,MG
38082,-19.74407500582838,-47.90288184540368,uberaba,MG
38230,-20.28106922622964,-49.20926164154711,fronteira,MG
38401,-18.882476025535222,-48.2792850313636,uberlandia,MG
38440,-18.65223568071188,-48.19343213192182,araguari,MG
38570,-17.767613654159536,-47.09538818396859,guarda-mor,MG
38700,-18.60497691187199,-46.52154885505743,patos de minas,MG
39100,-18.2339841777334,-43.59364621093363,diamantina,MG
39390,-17.126574817685405,-43.81059822795839,bocaiuva,MG
39690,-17.84600196564932,-42.074535098920734,malacacheta,MG
41680,-12.951849983601576,-38.40262950983905,salvador,BA
41720,-12.973746698857436,-38.43905887177561,salvador,BA
41830,-13.00486273633788,-38.46539390896759,salvador,BA
41820,-12.98158709241737,-38.45526521634257,salvador,BA
44082,-12.263456068378396,-38.9293114047869,feira de santana,BA
44200,-12.548774551976832,-38.71258824955349,santo amaro,BA
45028,-14.859266906639837,-40.817382610599694,vitoria da conquista,BA
45710,-15.119168211880428,-40.06723059750183,itororo,BA
45836,-17.03045192465799,-39.54123165657179,itamaraju,BA
47850,-12.08678562555841,-45.79992414323213,luis eduardo magalhaes,BA
47950,-12.234753551058445,-44.41808211184115,cristopolis,BA
48080,-12.131446680472528,-38.43135914903751,alagoinhas,BA
49490,-10.71619120666806,-38.16969037202442,poco verde,SE
51020,-8.109659996393315,-34.89334721273588,recife,PE
51250,-8.138173275583135,-34.9322264583223,recife,PE
54080,-8.110529968636387,-35.01942476643208,jaboatao dos guararapes,PE
55170,-8.151652952943909,-36.36954681604157,brejo da madre de deus,PE
55296,-8.892888006125926,-36.48858119678388,garanhuns,PE
55644,-8.208423317991008,-35.56779396710883,gravata,PE
55814,-7.845083036047171,-35.25775907209436,carpina,PE
56304,-9.39083242853022,-40.50556809146507,petrolina,PE
57017,-9.640899000000005,-35.74474649999999,maceio,AL
59151,-5.882257292719153,-35.2040340366164,parnamirim,RN
62700,-4.35771145747809,-39.31491288210802,caninde,CE
63011,-7.198938075795342,-39.31943129384031,juazeiro do norte,CE
63125,-7.236980312203903,-39.39516068035979,crato,CE
65066,-2.5070346576439486,-44.21214992867017,sao luis,MA
65067,-2.4863595238302167,-44.2333616871893,sao luis,MA
65740,-4.751404235220042,-44.93839063876921,pocao de pedras,MA
66040,-1.455169760979064,-48.48183489231919,belem,PA
66080,-1.4219309958450534,-48.46648868235325,belem,PA
69908,-10.013767311448731,-67.78332046811606,rio branco,AC
70673,-15.806524500000004,-47.93582925,brasilia,DF
70856,-15.761172953338969,-47.878636368437625,brasilia,DF
71937,-15.838387228836044,-48.01147928126522,brasilia,DF
72450,-16.008511777961637,-48.05001692124417,brasilia,DF
72460,-16.02294658397918,-48.05071815778448,brasilia,DF
73360,-15.62299518535027,-47.65010744842545,brasilia,DF
73780,-14.980008322372788,-47.77846316061065,agua fria de goias,GO
73752,-15.454584999999952,-47.60120021499995,planaltina,GO
73900,-14.078271318010032,-46.35957202767279,posse,GO
74366,-16.715153857534975,-49.32516023026103,goiania,GO
74645,-16.671296999999946,-49.23724849999997,goiania,GO
74930,-16.77015400112626,-49.34004189470734,aparecida de goiania,GO
75106,-16.35896592547895,-48.94378041308836,anapolis,GO
75400,-16.33868934903781,-49.51475360384877,inhumas,GO
76980,-12.746557845117692,-60.145102048037096,vilhena,RO
77360,-12.617158795204771,-47.87913877310236,parana,TO
78043,-15.584669512986082,-56.10089206079052,cuiaba,MT
78552,-11.829317247041294,-55.49644289081176,sinop,MT
78705,-16.459042904113158,-54.656015716617055,rondonopolis,MT
79540,-19.11358227631166,-51.73572123667424,cassilandia,MS
80050,-25.439106561486454,-49.23689875714125,curitiba,PR
80240,-25.453155877315545,-49.2850395992267,curitiba,PR
80230,-25.44041155231119,-49.27281542157665,curitiba,PR
80250,-25.4389681470945,-49.27448441188181,curitiba,PR
80220,-25.45005712155927,-49.2606739118818,curitiba,PR
80310,-25.464029318048183,-49.30472794690424,curitiba,PR
80330,-25.472734941716197,-49.30563836747645,curitiba,PR
80510,-25.416444206215026,-49.28185035596391,curitiba,PR
80620,-25.45385542382702,-49.286168717179294,curitiba,PR
80610,-25.46921399278664,-49.29393514695028,curitiba,PR
80740,-25.44145496502972,-49.31273063488947,curitiba,PR
81260,-25.474502573234364,-49.35249257828181,curitiba,PR
81490,-25.58719360032323,-49.32331092576026,curitiba,PR
81450,-25.498147452680467,-49.34864249999998,curitiba,PR
81770,-25.5347523805182,-49.236641559813016,curitiba,PR
81930,-25.56660371995524,-49.28299262236466,curitiba,PR
83010,-25.533552342489493,-49.18726902068778,sao jose dos pinhais,PR
83209,-25.547635663426608,-48.52779305562683,paranagua,PR
83323,-25.440714449910494,-49.188443906024766,pinhais,PR
83402,-25.34347077721826,-49.227809047574894,colombo,PR
84015,-25.074043009435066,-50.15132717124473,ponta grossa,PR
84172,-24.794234999999997,-49.99697099999999,castro,PR
84350,-24.21479006332944,-50.93493112717941,ortigueira,PR
84345,-24.247862548261367,-50.24561447987722,ventania,PR
85807,-24.9409988170985,-53.4931867821282,cascavel,PR
85819,-24.98699978821639,-53.450685208725176,cascavel,PR
85801,-24.961400882504734,-53.45816618100577,cascavel,PR
85802,-24.966371460470743,-53.46488320191585,cascavel,PR
86081,-23.263893735839535,-51.18150870269487,londrina,PR
86084,-23.25795336554321,-51.15321467790985,londrina,PR
86360,-23.123801224965774,-50.37285801357385,bandeirantes,PR
86600,-23.31259824896755,-51.36894941889966,rolandia,PR
86706,-23.420739085916825,-51.41460369847018,arapongas,PR
86702,-23.387311444268136,-51.44520034138108,arapongas,PR
86960,-24.02810801846768,-52.00953010663331,barbosa ferraz,PR
87025,-23.377396999935016,-51.93100618003307,maringa,PR
87020,-23.40870190356673,-51.94097450684423,maringa,PR
87030,-23.41848622413047,-51.92625934548862,maringa,PR
87050,-23.437975269077903,-51.91385959802448,maringa,PR
87005,-23.435118221374,-51.92885489694695,maringa,PR
87303,-24.03529260389033,-52.37957021179355,campo mourao,PR
87502,-23.757178599774967,-53.29107393545511,umuarama,PR
88036,-27.590329257833734,-48.52015089439666,florianopolis,SC
88058,-27.44750424718865,-48.39733340340489,florianopolis,SC
88063,-27.68775442656832,-48.48827427364544,florianópolis,SC
88350,-27.12100682014913,-48.94116396455869,brusque,SC
88359,-27.14105704919435,-48.96146112936535,brusque,SC
88715,-28.621531461000867,-49.023995719014565,jaguaruna,SC
88915,-28.86100263994921,-49.446676367068925,maracana,SC
89037,-26.91225753204585,-49.11088518056733,blumenau,SC
89023,-26.953576281983977,-49.08280584277794,blumenau,SC
89041,-26.91141069525076,-49.11143612738765,blumenau,SC
89120,-26.83365489702238,-49.26170944102369,timbo,SC
89215,-26.3367734454671,-48.906451424923546,joinville,SC
89259,-26.49816628796401,-49.08619647149698,jaragua do sul,SC
89270,-26.47119165563505,-48.99874721931727,guaramirim,SC
89204,-26.283149245628717,-48.85128463059032,joinville,SC
89560,-27.00086872288371,-51.14532022116548,videira,SC
89600,-27.16882094342798,-51.51882419291629,joacaba,SC
89610,-27.17195603801515,-51.49352558295913,herval d'oeste,SC
89820,-26.87062454886829,-52.40448790429404,xanxere,SC
90480,-30.02159907383571,-51.178723476398005,porto alegre,RS
90640,-30.063072457672124,-51.20322268985506,porto alegre,RS
91215,-30.02792349708581,-51.141100794189015,porto alegre,RS
